19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ID,Type,Display Name,Set,Shop ID,Zone,Level,XP,Tags,Module Name,Description,World x,World y,Prerequisite Flags,Removal Flags,Completion Flags,Battle Loot Items,Adventure Loot Items,First Time Loot,First Time Loot 2,Items Stocked,Rares Stocked,Epics Stocked,Legendaries Stocked,Quest Class Restriction,Quest Race Restriction,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Chest 1,Chest 2,Chest 3,Chest 4,,,,,,
Figure Shop,FIGS,figurestore,Cuthbert's Costumes,,,,1,,,,,832,2295,UNLKCOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 0,SHP0,shop,The Armory,,0,,1,,neverRestock,,,511,2318,TUT1DONE,"TUT2DONE,TUTSHWAD",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 1,SHO1,shop,The Armory,,1,,1,,silentArrival neverRestock,,,511,2318,TUT2DONE,"TUT3DONE,TUTSHWAD",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 2,SHO2,shop,The Armory,,2,,1,,silentArrival dailyRestock mpShop,,,511,2318,TUTSHWT4,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
Tavern 0,TAV0,tavern,The Orc's Head Tavern,,,,1,,,,,644,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutorial 1,TUT1,adventure,Raid on Ommlet,0,,,1,0,XPOnce noClubLoot,Kobolds,,635,2364,TUTSHWT1,ADVLVL05,,1,0,Amber Shards,,,,,,,,Streets,,,,,,,,,,,,,,,,,,,
Tutorial 2,TUT2,adventure,Kobold Encampment,0,,,1,10,XPOnce noClubLoot,Kobolds,,689,2468,TUTAXE,ADVLVL05,,1,0,Kobold Killer,,,,,,,,Kobold Camp,,,,,,,,,,,,,,,,,,,
Tutorial 3,TUT3,adventure,Tunnels into Darkness,0,,,1,10,XPOnce noClubLoot,Kobolds,,670,2571,TUTSHWT3,ADVLVL05,TUTSHWT4,1,0,Orzo's Excellent Wand,Golem Cleaver,,,,,,,Tunnel Intersection,,,,,,,,,,,,,,,,,,,
Tutorial 4,TUT4,adventure,White Skull Canyon,0,,,1,10,XPOnce noClubLoot,Kobolds,,826,2633,TUTSHWT4,ADVLVL05,,2,0,Blessed Demon Claw,Amber Shards,,,,,,,Canyon Gates,Canyon Lair,,,,,,,,,,,,,,,,,,
First Home,HOM1,home,Keep on the Hinterlands,,,,,,,,,474,2197,TUTSHWAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 6,SHO6,shop,Randimar's Rarities,,6,,-1,,weeklyRestock mpShop,,,380,2378,UNLKRAND,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,
Shop 9,SHO9,shop,The Daily Deal,,9,,-1,,dailyRestock globalStock mpShop,,,485,2449,TUTSHWAD,,,,,,,,10,3,1,,,,,,,,,,,,,,,,,,,,,,
Trog Grotto,TROG,adventure,Caverns of the Troglodytes,0,,,2,10,,Trog Grotto,,239,2411,TUTSHWAD,,"UNLKCHST,UNLKRAND",2,2,,,,,,,Warrior,,Trog Cave,Stench Cavern,,,,,,,,,,,,,,,,,,
Wizard's Workshop,WIZW,adventure,The Wizard's Workshop,0,,,2,10,,Wizard's Workshop,,340,2504,TUTSHWAD,,"UNLKCHST,UNLKRAND",2,2,,,,,,,Wizard,,Workshop Level 1,Workshop Level 2,Workshop Apex,,,,,,,,,,,,,,,,,
Lair of the Trog Wizard,TRWZ,adventure,Lair of the Trog Wizard,0,,,3,10,,Trog Wizard,,312,2269,TROGDONE,,"ADVLVL05,UNLKCOST,UNLKCHST,UNLKRAND",2,2,,,,,,,Warrior,,Scuttler Warren,Trog Lair,,,,,,,,,,,,,,,,,,
Highway Robbery,HIGH,adventure,Highway Robbery,0,,,3,10,,Highway Robbery,,352,2134,TUTSHWAD,,"ADVLVL05,UNLKCOST,UNLKCHST,UNLKRAND",2,2,Imp-proof Robes,,,,,,,,Roadside Ambush,Forest Wagon,"Bluk, Goblin Chieftain",,,,,,,,,,,,,,,,,
Ruby Demon Portal,RUDP,adventure,Ruby Demon Portal,0,,,4,10,,Ruby Demon Portal,,551,2064,TUTSHWAD,,"ADVLVL05,ADVLVL06,UNLKCOST,UNLKCHST,UNLKRAND",2,2,,,,,,,Priest,,Ruby Outer Ring,Ruby Middle Ring,Ruby Portal,,,,,,,,,,,,,,,,,
Lizard Priest,LZRD,adventure,Dungeon of the Lizard Priest,0,,,4,10,,Dungeon of the Lizard Priest,,720,1999,TUTSHWAD,,"ADVLVL05,ADVLVL06,UNLKCOST,UNLKCHST,UNLKRAND",2,2,Lizard Fryer,,,,,,,Elf,Sewer Lizards,Slime Tunnels,Lizard Guards,,,,,,,,,,,,,,,,,
Rescue,RESC,adventure,Rescue From Shieldhaven Prison,0,,,5,10,,Rescue,,876,2191,ADVLVL05,,"ADVLVL06,ADVLVL07,UNLKCOST",2,2,,,,,,,,,Prison Corridor,Prison Guardhouse,Prison Dog Yard,Prison Warden,,,,,,,,,,,,,,,,
Slub Gut,SLUB,adventure,Slub Gut's Sanctum,0,,,5,10,,Slub'Gut's Sanctum,,853,2089,LZRDDONE,,"ADVLVL06,ADVLVL07,UNLKCOST",2,2,,,,,,,,Elf,Lizard Feast Hall,SlubGut,,,,,,,,,,,,,,,,,,
Diamonds,DMND,adventure,Diamonds of the Kobolds,0,,,6,10,,Diamonds of the Kobolds,,393,2029,ADVLVL06,,"ADVLVL07,ADVLVL08",2,2,Trogsbane,,,,,,,,Gashstone Pass,Mine Entrance,Mineshaft,,,,,,,,,,,,,,,,,
Shop 4,SHO4,shop,Kyburz Market,,4,,7,,dailyRestock mpShop,,,539,1957,ADVLVL06,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
White Star,WHST,adventure,The White Star,0,,,6,10,,The White Star,,340,1937,DMNDDONE,,"ADVLVL07,ADVLVL08",2,2,White Star Diamond,,,,,,,,Gleaming Cavern,The Winding Shaft,Mother Lode,,,,,,,,,,,,,,,,,
Woodhome,WOOD,adventure,The Defense of Woodhome,0,,,6,0,locked treasureHunt,Woodhome,,333,1849,ADVLVL06,,,2,2,Woodhome's Wound,,,,,,,Human,Woodhome Gates,Woodhome Chapel,Woodhome Walls,,,,,,,,,,,,,,,,,
Forest of Souls,SOUL,adventure,Forest of Souls,0,,,7,0,locked treasureHunt,Forest of Souls,,470,1795,ADVLVL07,,,2,2,Oakenheart Shield,,,,,,,,Forest Border,Sunlit Field,Sparkler Glade,,,,,,,,,,,,,,,,,
Frozen Earth,BTFE,adventure,Beneath the Frozen Earth,0,,,7,10,,Frozen Earth,,171,1905,ADVLVL07,,"ADVLVL08,MM07ARCH",2,2,,,,,,,,,Frozen Canyon,Frozen Bridge,Frozen Wizards,,,,,,,,,,,,,,,,,
Throne of Strench,THST,adventure,The Throne of Strench,0,,,7,10,,Throne of Strench,,119,2051,BTFEDONE,,ADVLVL08,2,2,Manhunter,,,,,,,,Frozen Warren,Frozen Cavern,Frozen Throne,,,,,,,,,,,,,,,,,
Compass of Xorr,XORR,adventure,The Compass of Xorr,0,,,8,10,,Compass of Xorr,,555,1710,ADVLVL08,,MELVMAGN,2,2,,,,,,,,,Stafford Cellar,Stafford Kitchen,Stafford Library,,,,,,,,,,,,,,,,,
Order of the Core,CORE,adventure,Order of the Core,0,,,8,0,locked treasureHunt,Order of the Core,,768,1661,ADVLVL08,,,2,2,Cleansing Diamond,,,,,,,Dwarf,Core Fortress Gates,Core Quarry,Core Library,,,,,,,,,,,,,,,,,
Stafford's Treasure,STAF,adventure,Lord Stafford's Treasure,0,,,8,10,,Lord Stafford's Treasure,,618,1607,XORRDONE,,,2,2,Amethyst Idol,,,,,,,,Stafford Main Hall,Stafford Chapel,Stafford Treasury,,,,,,,,,,,,,,,,,
Treasure Shop 1,TRS1,treasureshop,Chest and Barrel,,,,8,,,,,683,2147,UNLKCHST,,,,,,,,,,,,,,,,,,,,,,,0,2,3,,,,,,,
Melvelous Magnificent,MELV,adventure,Melvelous the Magnificent,0,,,8,10,,Melvelous Magnificent,,707,1857,MELVMAGN,,"ADVLVL09,ADVLVL10",2,2,Hand of Melvelous,,,,,,,,Melvelous Crypt,Melvelous Chamber,Melvelous Sanctum,,,,,,,,,,,,,,,,,
Arena Qualifier,ARN0,adventure,"Gladiatorial Arena, Qualifiers",0,,,9,10,,"Gladiatorial Arena, Qualifier",,826,1534,ADVLVL09,,,2,2,,,,,,,,,Arena Battle 1-1,Arena Battle 1-2,Arena Battle 1-3,,,,,,,,,,,,,,,,,
Arena Round 1,ARN1,adventure,"Gladiatorial Arena, Finals",0,,,9,10,,"Gladiatorial Arena, Finals",,980,1452,ARN0DONE,,,2,2,,,,,,,,,Arena Battle 1-4,Arena Battle 1-5,Arena Battle 1-6,,,,,,,,,,,,,,,,,
Return to Woodhome,REWO,adventure,Return to Woodhome,0,,,9,0,locked treasureHunt,Return to Woodhome,,281,1736,ADVLVL09,,,2,2,Giant Skeletal Arm,,,,,,,Human,Woodhome River,Woodhome Graveyard,,,,,,,,,,,,,,,,,,
Garnet Demon Portal,GADP,adventure,Garnet Demon Portal,0,,,10,10,,Garnet Demon Portal,,1173,1523,ADVLVL10,,AGAINCCK,2,3,,,,,,,,,Garnet Portal Pillars,Garnet Portal Boulders,Garnet Portal Bones,Garnet Portal Bridges,Garnet Portal,,,,,,,,,,,,,,,
Against Cockroaches,LEEC,adventure,Against the Cockroaches,0,,,10,10,,Against the Cockroaches,,1005,1964,AGAINCCK,,ADVLVL11,2,2,,,,,,,,,Into the Filth,The Demon Stink,Morvin's Revenge,,,,,,,,,,,,,,,,,
Sinister Wood,SINW,adventure,The Sinister Wood,0,,,10,0,locked treasureHunt,Sinister Wood,,747,1415,ADVLVL10,,,2,2,The Soulstone,,,,,,,,Stand of Maples,Beech Copse,Enchanted Thicket,,,,,,,,,,,,,,,,,
Tavern 1,TAV1,tavern,The Songsword Tavern,,,,10,,,,,1138,1622,ADVLVL13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viscous Tombs,VISC,adventure,The Viscous Tombs,0,,,10,10,,Viscous Tombs,,926,1351,ADVLVL10,,AI01TEST,2,2,,,,,,,Warrior,Human,Dripping Grave,Oozing Cavern,Burnt Pudding,,,,,,,,,,,,,,,,,
Descent to the Core,DECO,adventure,Descent to the Core,0,,,11,0,locked treasureHunt,Descent to the Core,,915,1636,ADVLVL11,,,2,2,Robe of the Geomancers,,,,,,,Dwarf,Core Laboratory,Core Antechamber,Core Ritual,,,,,,,,,,,,,,,,,
Goblins in the Woods,GOBW,adventure,Goblins in the Woods,0,,,11,10,,Goblins in the Woods,,525,1383,ADVLVL11,,AI01TEST,2,2,,,,,,,,,Tree Forts Outpost,Tree Forts Webs,Tree Forts Glade,Tree Forts Patrol,,,,,,,,,,,,,,,,
Pools of Slime,POOL,adventure,The Pools of Slime,0,,,11,10,,Pools of Slime,,1068,1276,"VISCDONE,GOBWDONE",,ADVLVL12,2,2,,,,,,,,,Bad Jelly,Glistening Tunnels,Slime Coffins,,,,,,,,,,,,,,,,,
Shop 5,SHO5,shop,The Goblin Bazaar,,5,,13,,dailyRestock mpShop,,,1326,1448,ADVLVL12,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
Temple of Scales,TEMS,adventure,Temple of Scales,0,,,12,0,locked treasureHunt,Temple of Scales,,1144,1390,TEMSUNLK,,,2,2,Lizard Hide Boots,,,,,,,,Jungle Lizards,Temple Grounds,Dome of Heads,Ritual Chamber,,,,,,,,,,,,,,,,
Tomb of Tvericus,TVER,adventure,The Tomb of Tvericus,0,,,12,10,,Tomb of Tvericus,,1283,1322,ADVLVL12,,"TEMSUNLK,ADVLVL13,ADVLVL14",2,2,,,,,,,,,Graveyard,Mausoleum,Narthex,Tomb of Tvericus,,,,,,,,,,,,,,,,
Tree Forts,TFGK,adventure,Tree Forts of the Goblin King,0,,,12,10,,Tree Forts,,610,1485,"GOBWDONE,TVERDONE",,,2,2,,,,,,,,,Tree Forts Light,Tree Forts Platform,Tree Forts King,,,,,,,,,,,,,,,,,
Alet Zhav,ALET,adventure,The Jewel of Alet Zhav,0,,,13,10,,Crypts,,1491,1367,TVERDONE,,"ADVLVL14,ADVLVL15",2,2,Jewel of Alet Zhav,,,,,,,,Zombie Pit,Burning Temple,Antechamber,Tomb of Alet Chav,,,,,,,,,,,,,,,,
Astral Shrine,ASSH,adventure,Shrine of the Astral Guardians,0,,,13,10,,Shrine of the Astral Guardians,,1514,1527,ADVLVL13,,"ADVLVL14,ADVLVL15",2,2,,,,,,,,,Astral Dawn,Astral Sun,Astral Dusk,,,,,,,,,,,,,,,,,
Ogre Pass,PASS,adventure,High Mountain Pass,0,,,13,0,locked treasureHunt,High Mountain Pass,,1566,1251,ADVLVL13,,,2,2,Magnetic Shield,,,,,,,,Pass Road,Pass Ambush,Pass Lookouts,Pass Ogre Lair,,,,,,,,,,,,,,,,
Batfords Manor,BATF,adventure,Lord Batford's Manor,0,,,14,0,locked treasureHunt,Lord Batford's Manor,,1643,1460,ADVLVL14,,,2,3,Ring of Appropriation,,,,,,,,Servants' Quarters,Lord Batford's Kitchen,Batford's Lower Halls,Batford's Ballroom,Batford's Parlor,Batford's Sanctuary,,,,,,,,,,,,,,
Citrine Demon Portal,CIDP,adventure,Citrine Demon Portal,0,,,14,10,,Citrine Demon Portal,,2063,1508,ADVLVL14,,"ADVLVL15,ADVLVL16",2,2,,,,,,,Priest,Dwarf,Citrine Portal Entry,Citrine Portal Sepulcher,Citrine Portal Antechamber,Citrine Portal,,,,,,,,,,,,,,,,
Return to Astral Shrine,ASS2,adventure,Return to the Astral Shrine,0,,,14,10,,Return to the Astral Shrine,,1557,1638,ASSHDONE,,"ADVLVL15,ADVLVL16",2,2,,,,,,,,,Astral Vespers,Astral Song,,,,,,,,,,,,,,,,,,
Gnome Lords,GNOM,adventure,Riddle of the Gnome Lords,0,,,15,10,,Riddle of the Gnome Lords,,2020,1748,ADVLVL15,,"ADVLVL16,ADVLVL17",2,2,,,,,,,Wizard,Elf,Gnome Gate,Gnome Entry,Gnome Vault,,,,,,,,,,,,,,,,,
Secret Gnome Lords,GNO2,adventure,Secret of the Gnome Lords,0,,,15,10,,Secret Gnome Lords,,1852,1866,GNOMDONE,,"ADVLVL16,ADVLVL17",2,2,,,,,,,Wizard,Elf,Gnome Rift,Gnome Secret,,,,,,,,,,,,,,,,,,
War Monkeys,AWMO,adventure,Attack of the War Monkeys,0,,,16,10,,War Monkeys,,1565,1801,ADVLVL16,,ADVLVL17,2,2,,,,,,,,,Monkey Attack,Monkey Jungle,Monkey Path,Monkey Temple,,,,,,,,,,,,,,,,
Black Forest,BLKF,adventure,Into the Black Forest,0,,,16,10,,Into the Black Forest,,1822,1546,ADVLVL16,,ADVLVL17,2,2,,,,,,,,,Forest Outskirts,Forest Path,Monkey Clearing,Beech Grove,,,,,,,,,,,,,,,,
Cliffs of the Wyverns,WVRN,adventure,Cliffs of the Wyverns,0,,,16,10,locked treasureHunt,Cliffs of the Wyverns,,1719,1331,ADVLVL16,,,2,2,St Ulrich's Bones,,,,,,,,Low Nest,Cliff Dwelling,High Nest,Eyrie Pinnacle,,,,,,,,,,,,,,,,
Treasure Shop 2,TRS2,treasureshop,Anjin's Treasures,,,,16,,,,,1116,1721,ADVLVL10,,,2,2,,,,,,,,,,,,,,,,,,,0,1,2,3,,,,,,
War Monkeys 2,TOTR,adventure,Temple of Terror,0,,,16,10,,Temple of Terror,,1723,1731,AWMODONE,,ADVLVL17,2,2,,,,,,,,,Monkey Tunnels,Monkey Maze,Monkey Altar,,,,,,,,,,,,,,,,,
Black Oaken Heart,BLK2,adventure,Black Oaken Heart,0,,,17,10,,Black Oaken Heart,,1863,1649,BLKFDONE,,,2,2,,,,,,,,,Stand of Oaks,Goblin Outpost,Dense Wood,Heart of the Forest,,,,,,,,,,,,,,,,
Swamp King,SWKG,adventure,Dungeon of the Swamp King,0,,,17,10,locked treasureHunt,Swamp King,,1511,1926,ADVLVL17,,,2,2,Dragonslayer Sword,,,,,,,,Swamp King Foyer,Swamp King Bedroom,Swamp King Kitchen,Swamp King Dungeon,,,,,,,,,,,,,,,,
Yellow Dragon,ROSE,adventure,Lair of the Yellow Dragon,0,,,17,10,,Yellow Dragon,,1282,1878,BLK2DONE,,CARDUNLK,2,2,,,,,,,,,Rose Dragon Ogre Sentries,Rose Dragon Wisp Cave,Rose Dragon Honor Guard,Rose Dragon Carlinian,,,,,,,,,,,,,,,,
Card Hunt 2,CARD,adventure,CardStock II Secret Preview,0,,,17,0,,CardStock II Secret Preview,,1384,2032,CARDUNLK,,"TUTSHQST,CITDUNLK",2,2,,,,,,,,,Quarter Final,Semi Final,Final,,,,,,,,,,,,,,,,,
Valley of Tezkal,TALO,adventure,Valley of Tezkal,1,,,7,10,treasureHunt,Valley of Tezkal,,1987,2037,ADVLVL07,,,2,2,Trog Melter,,,,,,,,Pygmy Peril,Fangs in the Water,Valley End,,,,,,,,,,,,,,,,,
Beneath Tcotzac,TCOT,adventure,Beneath Tcotzac,1,,,8,10,locked treasureHunt,Beneath Tcotzac,,2041,2126,TALODONE,,,2,2,Ztoli Branch,,,,,,,,Warm Welcome,Brain Teaser,Curses,,,,,,,,,,,,,,,,,
Crystals of Chronak,ALTA,adventure,Crystals of Chronak,1,,,9,10,locked treasureHunt,Crystals of Chronak,,2017,2228,TCOTDONE,,,2,2,Ztoli Idol,,,,,,,,Ziggarat Entrance,Ziggarat Interior,Ziggarat Apex,,,,,,,,,,,,,,,,,
MauveManticore1,MM01,adventure,Mauve Manticore 1,,,,-1,0,noQuests noParty,Mauve Manticore #1,"Greetings fair reader!<br/><br/>In this month's Mauve Manticore we have a special treat for you. Venture into three deliciously fiendish adventures penned by you - the players of Card Hunter. From the insane experiments of an evil wizard to the desperate defense of a holy house to the adventures of G'zok the Goblin thief, these adventures transport you, through the power of imagination, to places you never been. And, after all, isn't that what Card Hunter is all about?<br/><br/>Yours in Adventure, Mary Myrax (Editor).",1220,2094,MM01ARCH,,,2,2,,,,,,,,,Forgotten Chapel,Die Hard,Sneak Thief,,,,,,,,,,,,,,,,,
MauveManticore2,MM02,adventure,Mauve Manticore 2,,,,-1,0,noQuests noParty,Mauve Manticore #2,"Hail readers!<br/><br/>Last month's player-created adventures were so well received that we decided to repeat the experiment! Read on for three more fiendish forays into the world of Cardhuntria, as told by YOU.<br/><br/>A reader asks: ""are these works part of official Card Hunter lore?"" I answer: ""no, but they are delightful flights of fantasy!""<br/><br/>Enjoy!<br/>Mary Myrax (Editor).",1354,2223,MM02ARCH,,MM01ARCH,2,2,,,,,,,,,Wedding Crashers,The Summoning 1,The Summoning 2,,,,,,,,,,,,,,,,,
MauveManticore2a,MM2A,adventure,Mauve Manticore 2 Supplement,,,,-1,0,noQuests noParty,Mauve Manticore #2 Supplement,"""What?"" I hear you cry. ""Is there more?"" Why, yes, there is! Here are three more reader-designed battles to test your mettle. <br/><br/>Enjoy! - MM",1390,2141,MM02ARCH,,MM01ARCH,2,2,,,,,,,,,The Games 1,The Games 2,The Games 3,,,,,,,,,,,,,,,,,
MauveManticore3,MM03,adventure,Mauve Manticore 3,,,,-1,0,noQuests noParty,Mauve Manticore #3,"Card Hunter - it's the game limited only by your imagination. War Dogs, Geomancers and animated statues - the world of Cardhuntria is full of wonders, so why not expand your horizons with this month's incredible reader-created battles?<br/><br/>Until next time,<br/><br/>Mary Myrax (Editor).",1257,2320,MM03ARCH,,MM02ARCH,2,2,,,,,,,,,Master's Manor,Guild Outpost,Bindings of Xanthicius,,,,,,,,,,,,,,,,,
MauveManticore3a,MM3A,adventure,Mauve Manticore 3 Supplement,,,,-1,0,noQuests noParty,Mauve Manticore #3,These three canine connivances are so good we just couldn't pass them by!<br/><br/>Enjoy! - MM,1216,2244,MM03ARCH,,MM02ARCH,2,2,,,,,,,,,Devil Dogs 1,Devil Dogs 2,Devil Dogs 3,,,,,,,,,,,,,,,,,
MauveManticore4,MM04,adventure,Mauve Manticore 4,,,,-1,0,noQuests noParty,Mauve Manticore #4,"Salutations, readers!<br /><br />We all know what it's like to be overwhelmed: sometimes it's hard to fight back, and life gets you down. Hence, Card Hunter! In this month's player-created adventures you will fight back against overwhelming odds, and you will prevail.<br /><br />Good luck!<br />Mary Myrax (Editor).",1568,2065,MM04ARCH,,MM03ARCH,2,2,,,,,,,,,Save the Trees!,Chess Conundrum,Break Out - Outbreak!,,,,,,,,,,,,,,,,,
MauveManticore5,MM05,adventure,Mauve Manticore 5,,,,-1,0,noQuests noParty,Mauve Manticore #5,"Greetings, readers!<br /><br />The player-created scenarios this month take advantage of Card Hunter 1.5e's new scenario modes to produce unique challenges never faced before. Do you have what it takes to win when victory requires more than just clobbering your foes?<br /><br />Enjoy!<br />Mary Myrax (Editor).",1110,2361,GOBWDONE,,,2,2,,,,,,,,,Melvelous the Magnificent and the Malicious Maze,Trick or Treat!,Failed Negotiations,,,,,,,,,,,,,,,,,
White Feather Hill,WFHL,adventure,The Troll Tyrant,1,,,18,10,locked treasureHunt,White Feather Hill,,1010,1115,ALTADONE,,CMUNLOCK,2,2,Whorl,,,,,,,,Entrance Hall,Troll Pit,Storge Nests,Lair of the Troll King,,,,,,,,,,,,,,,,
Grey Quill Peak,GQPK,adventure,Secret of the Elder Mind,1,,,18,10,locked treasureHunt,Grey Quill Peak,,1107,1019,WFHLDONE,,,2,2,Riptide,,,,,,,,Carrion Trenches,Thought Repository,Lair of the Elder Mind,,,,,,,,,,,,,,,,,
Black Plume Mountain,BPMT,adventure,Black Plume Mountain,1,,,18,10,locked treasureHunt,Black Plume Mountain,,1117,883,GQPKDONE,,,2,2,Blackhammer,,,,,,,,Cave of Confusion,Totem Maze,Lair of Blizkenripper,,,,,,,,,,,,,,,,,
Chests,TRSM,treasureshop,Chest Shop,,,,16,,mpChestShop,,,0,0,NEVERULK,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,,,,,,
Treasure Shop 3,TRS3,treasureshop,House of Artifacts,1,,,16,,,,,1871,1985,ADVLVL07,,,,,,,,,,,,,,,,,,,,,,,4,5,6,,,,,,,
Artifact Chests,TRSA,treasureshop,House of Artifacts,1,,,16,,mpChestShop,,,0,0,NEVERULK,,,,,,,,,,,,,,,,,,,,,,,4,5,6,,,,,,,
Seconds Shop,SHSC,shop,Skarl's Seconds,,,,-1,,secondsShop dontRestock,,,569,1875,TUTULKSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 7,SHO7,shop,The Halloween Store,0,7,,-1,,stockAllLootTable dontRestock,,,876,1738,NEVERULK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 8,SHO8,shop,Holiday Store,0,8,,-1,,stockAllLootTable dontRestock,,,876,1738,NEVERULK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metallic Monstrosity,TMMO,adventure,The Metallic Monstrosity,2,,,19,,treasureHunt lootIgnoreRenown,,,1313,1164,CITDUNLK,,CMUNLOCK,2,2,St. Well's Powermace,,,,,,Priest,Human,MM Entrance,MM Alarm,MM Robot,,,,,,,,,,,,,,,,,
Passages to Death,PSTD,adventure,Passageways to Death,2,,,19,,locked treasureHunt lootIgnoreRenown,,,1320,1064,TMMODONE,,,2,2,Nova Axe,,,,,,Wizard,Dwarf,PTD Twisty,PTD Gallery,PTD Hack,,,,,,,,,,,,,,,,,
